id,prediction
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,0
21,0
22,1
23,1
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,0
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,0
57,1
58,1
59,1
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,0
74,1
75,0
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,0
112,1
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,0
149,0
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,1
186,0
187,0
188,1
189,1
190,1
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,0
201,1
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,0
229,0
230,1
231,0
232,0
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,0
257,0
258,0
259,1
260,1
261,1
262,1
263,1
264,1
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,1
379,1
380,0
381,0
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,1
390,1
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,0
407,0
408,0
409,0
410,1
411,0
412,0
413,1
414,1
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,1
423,1
424,1
425,0
426,0
427,1
428,1
429,1
430,1
431,0
432,0
433,1
434,1
435,1
436,0
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,0
446,0
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,1
457,1
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,1
466,0
467,0
468,1
469,0
470,0
471,1
472,0
473,0
474,0
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,1
487,0
488,0
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,0
505,0
506,1
507,1
508,1
509,0
510,0
511,0
512,0
513,0
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,1
522,1
523,1
524,1
525,0
526,0
527,1
528,1
529,1
530,0
531,1
532,0
533,1
534,1
535,0
536,0
537,0
538,1
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,0
547,0
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,0
556,0
557,1
558,0
559,1
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,1
577,1
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,1
593,1
594,0
595,0
596,1
597,1
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,1
607,0
608,1
609,1
610,1
611,1
612,0
613,0
614,1
615,0
616,0
617,1
618,1
619,0
620,1
621,1
622,0
623,1
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,0
633,0
634,1
635,0
636,1
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,0
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,0
659,1
660,1
661,1
662,1
663,0
664,1
665,0
666,0
667,0
668,0
669,1
670,1
671,1
672,0
673,1
674,1
675,0
676,1
677,1
678,1
679,0
680,1
681,0
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,1
691,1
692,1
693,0
694,1
695,0
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,1
719,0
720,0
721,0
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,1
730,0
731,1
732,1
733,0
734,1
735,0
736,1
737,1
738,0
739,0
740,1
741,0
742,0
743,1
744,1
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,0
753,0
754,1
755,0
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,0
771,1
772,0
773,1
774,1
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,1
783,0
784,0
785,0
786,1
787,1
788,0
789,0
790,0
791,1
792,0
793,1
794,0
795,0
796,0
797,0
798,1
799,0
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,0
809,0
810,1
811,1
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,0
822,1
823,1
824,0
825,0
826,0
827,0
828,0
829,1
830,0
831,1
832,1
833,1
834,0
835,0
836,0
837,0
838,0
839,1
840,0
841,0
842,0
843,0
844,0
845,0
846,1
847,0
848,0
849,1
850,0
851,1
852,0
853,0
854,0
855,0
856,1
857,0
858,1
859,0
860,0
861,0
862,0
863,0
864,1
865,0
866,0
867,0
868,0
869,0
870,1
871,1
872,1
873,0
874,1
875,0
876,0
877,0
878,1
879,1
880,1
881,1
882,0
883,1
884,1
885,1
886,1
887,1
888,1
889,0
890,0
891,0
892,1
893,1
894,1
895,1
896,1
897,0
898,1
899,0
900,0
901,1
902,1
903,0
904,1
905,0
906,0
907,1
908,0
909,0
910,1
911,1
912,0
913,0
914,0
915,1
916,0
917,0
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,1
926,0
927,0
928,1
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,1
937,1
938,1
939,0
940,0
941,1
942,0
943,0
944,1
945,0
946,0
947,0
948,1
949,0
950,1
951,1
952,1
953,1
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,1
962,0
963,0
964,0
965,1
966,0
967,1
968,0
969,1
970,1
971,0
972,0
973,1
974,1
975,0
976,0
977,0
978,1
979,1
980,1
981,0
982,0
983,0
984,0
985,0
986,1
987,1
988,0
989,1
990,0
991,0
992,1
993,0
994,1
995,1
996,0
997,1
998,1
999,1
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,1
1008,1
1009,0
1010,0
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,1
1025,1
1026,0
1027,1
1028,0
1029,0
1030,1
1031,1
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,1
1042,1
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,0
1059,0
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,1
1069,1
1070,0
1071,1
1072,1
1073,0
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,0
1081,1
1082,1
1083,1
1084,1
1085,0
1086,1
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,1
1095,1
1096,1
1097,0
1098,1
1099,0
1100,1
1101,1
1102,1
1103,1
1104,0
1105,0
1106,0
1107,1
1108,0
1109,0
1110,1
1111,1
1112,0
1113,0
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,0
1134,1
1135,1
1136,0
1137,1
1138,0
1139,0
1140,0
1141,1
1142,0
1143,1
1144,0
1145,0
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,0
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,0
1160,0
1161,1
1162,0
1163,1
1164,0
1165,0
1166,0
1167,1
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,0
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,1
1182,1
1183,1
1184,0
1185,1
1186,0
1187,1
1188,1
1189,0
1190,0
1191,0
1192,1
1193,0
1194,0
1195,1
1196,1
1197,1
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,0
1215,1
1216,0
1217,0
1218,1
1219,0
1220,1
1221,1
1222,1
1223,0
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
