id,prediction
0,1
1,1
2,1
3,0
4,1
5,1
6,0
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,1
54,1
55,0
56,1
57,1
58,1
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,1
125,0
126,0
127,0
128,1
129,0
130,1
131,1
132,0
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,0
179,1
180,1
181,1
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,0
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,0
212,0
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,1
286,1
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,0
304,1
305,1
306,0
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,0
330,1
331,1
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,0
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,0
382,1
383,0
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,0
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,0
458,0
459,1
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,0
470,0
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,0
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,1
534,1
535,1
536,0
537,1
538,1
539,0
540,0
541,1
542,1
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,1
618,1
619,0
620,1
621,1
622,1
623,1
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,1
632,1
633,0
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,0
647,1
648,0
649,1
650,1
651,1
652,1
653,0
654,0
655,1
656,1
657,1
658,1
659,1
660,1
661,0
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,1
671,1
672,0
673,1
674,1
675,1
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,1
688,0
689,1
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,1
707,0
708,0
709,1
710,0
711,1
712,0
713,1
714,1
715,1
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,0
734,1
735,0
736,1
737,1
738,0
739,0
740,1
741,1
742,0
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,0
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,1
764,0
765,1
766,1
767,0
768,1
769,1
770,0
771,0
772,0
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,1
805,1
806,0
807,1
808,1
809,0
810,1
811,1
