0,0,"sigh. all of @mmitchelldaviss' t-shirts are sold out in smalls. "
1,1,"Diversity or Stavros Flately to win! "
2,0,"Braxton was up at 2:30 untill 4am and now he won't sleep more than 15 minutes at a time! It's hard to be a mom on days like this! "
3,0,"@alyssamarie10 : rreally /// kaingit T_T "
4,0,"back to work i got!!  im bored lol! but i should look like im doing something ill be back on soon!"
5,0,"Eeef am missing show 2nite  Feel crappier than before but determined to make it tomorrow... somehow..."
6,1,"@scottbert  Remarkable, since even Wikipedia gives that Fanta fact and half their problem is relying far too much on dud Wikipedia myths "
7,0,"@Seanyybear I hate you! I'm never curling my hair for you again!  I haven't seen you in agesss!"
8,0,"@anjaXautopsy Sounds like fun  what ya having?"
9,1,"@MeltedMoment weather will be wonderful in Minehead!! "
10,0,"feel like death "
11,0,"@jorrintyler i'm sure that it will be an awesome time! Wish that i could be there.  maybe next year"
12,0,"aw manny pacquiao was on the trending topics for so short a time... like 3 hours. now it's back to swine flu and jonas brothers. "
13,0,"Aaaaaaand no cricket, aka, no money for me today "
14,0,"SomeOne Help Me, , , "
15,0,"@DiscoStarChild wat time cause i work at 5 "
16,0,"forgot the crackberry at home.  lost without it.  "
17,0,"Oh man I really wanted to love Transformers 2 but I gotta say, I'm a bit dissapointed "
18,0,"@DeusXMachina lets just say an ex and ex boss are hh'ing today- frightening! and thats just the tip of the iceberg! "
19,1,"@theBrandiCyrus I Want to Go!! But I got a party myself! Ir was AWESOME! "
20,1,"@Skistar15 no true story.... i shared my one bottle.. arent i knid "
21,0,"wow, joe completely wrecked taylor in Much Better. sorry taylor  but joe, i applaud your wrecking."
22,1,"Great Hamster Race today @ 11 &amp; Storytimes @ 2 &amp; 245 @ COLDSTONE CREAMERY! "
23,1,"@vickiiii haha not all of it. I thought about the tweehab thing but someone else already singing it like that "
24,0,"@Icethevillain yessir! I had a ledo's by my house....until it blew up. "
25,0,"@ChampagneRDub yeah they are gone "
26,0,"I gotta find better ways to work out...I need to lose weight "
27,1,"@Caseyy_   I luv your beanie .. but mine is reversible in two shades of pink!!    "
28,1,"@tilib Except your tweet. "
29,1,"@IrinaTulip yes, really  met many new people and had fun all the time(exept saturday morning.. i guess i puked about 8 times)"
30,1,"@NewMoonObsessed http://twitpic.com/640lk ok thank you my net is running out should end today or in the next 24, have fun!  thank you! "
31,1,"Fabulous Monday Morning to everyone!!   Remember if you want a different result, do something different. Smile with me "
32,0,"my back still hurts... That's what you get when you're working out!! "
33,1,"@Myself_ox haha im sure he wont! :L I think me and adam could be the best of friends?  im moving to Ireland, + living with the Byrnes! :L"
34,0,"My other half is far far away from me "
35,1,"eatin chickn fingers...mmmmm  and watchin penguins of madagascars..YUP!"
36,0,"@frankantonio sorry frankie-- that stinks  RIP meow meow"
37,1,"Sitting in the sun, eatting crawfish, listening to music. This is the life. "
